"","p_value","FDR","log2FC","linearFC"
"ERBB2",1.6265478076322e-15,1.33116672576619e-11,-1.21570893629527,0.430561451174333
"GLS",0.0247468965803996,0.0952627477017827,0.0470009768235506,1.03311508718803
"H2BK1",0.0144817617409619,0.0651201857626549,1.22048695872585,2.33025358017992
"CUTA",6.35545853679271e-05,0.00155940159840909,0.629135361214342,1.54663778177056
"DUSP14",0.00751889153664873,0.0406974922856701,0.684595976117613,1.6072518107754
"JCHAIN",0.00824731334967248,0.0435677640488844,4.5226515286546,22.9854901944588
"RPLP1",0.000935868612145853,0.00952630438035033,0.620801568706732,1.53772931421837
"CALM1",1.97617427475935e-08,6.73875427692938e-06,0.714774317370111,1.64122645838556
"TUBA3C",0.00292903061522112,0.0209772020383428,1.0495397659622,2.06986943345483
"MIF",1.00591070152731e-05,0.000495926095259005,0.655541024981741,1.57520656050852
"H1.2",0.000527647419986988,0.00642599179341296,0.710812259435205,1.63672535923486
"KRT15",0.0421745327517859,0.136263867367002,3.31900757706935,9.97977698920558
"KRT85",0.00147497508959799,0.0129743927108473,0.640689942698151,1.55907458016369
"TAGLN",6.4952240459576e-08,1.71473914813281e-05,0.623842119929229,1.5409735723933
"MLLT11",0.0536277248893231,0.160237057500628,3.10550302392794,8.60695558445454
"PRDM2",0.00953997932207031,0.0483737241461112,0.656340766815378,1.57608000068708
"UNC119",0.0453436949109248,0.143113304724647,2.7749172969961,6.84436783840553
"SNRNP35",0.0106932725351879,0.0525608062630499,3.30262368849127,9.86708330006378
"TUBB8",0.0039804828819434,0.026268078132765,0.583805735974492,1.49879776970939
"TSTD2",0.0388705294610566,0.12889643967151,3.79530164016722,13.8835214719856
"SARM1",0.0494988148085077,0.151892876037806,3.68711594924459,12.8804933641997
"TUBA1A",0.0231411538509711,0.0910077862164093,0.809729774429739,1.75288308620059
"PCGF5",0.037040673462737,0.124852088805206,4.00110516228773,16.0122613377195
"SRL",0.0123587416457186,0.0582962199588246,4.60279384491751,24.2984746386258
"TRIM58",0.0688423850890148,0.189125907877978,4.30198271544412,19.7254008810826
"MCFD2",1.79262725228879e-05,0.000676076563720345,0.679353787524315,1.60142228486722
"CCT6B",0.0343975721125175,0.119233261401458,2.29095446476494,4.89379770101365
"PMM1",8.4324170906242e-09,3.83393897053714e-06,0.641492288651419,1.55994189103273
"ISOC2",0.000322247853059,0.00463493221341802,0.60052324806672,1.51626639830517
"TIMM17A",0.011838418017643,0.0565920637011625,1.02843194826451,2.03980600008671
"C12orf57",0.00945272915955518,0.0481101588568405,0.90329042120522,1.87032686308436
"PAIP2",4.94640775890207e-05,0.00132292160453773,1.08747560723781,2.12501880358817
"CHCHD5",0.00102759600677829,0.0101677807856262,0.734075127344669,1.66333081129414
"SPANXD",1.84097622459632e-09,1.36968631109966e-06,1.12753541957745,2.18485179322975
"DPY30",0.00120425781406638,0.0113283286785279,0.716875454096694,1.64361847711424
"TXNIP",0.00014137580379992,0.00261178234378904,0.75426405934973,1.68677092529342
"SPANXB1",1.09558594286353e-12,2.98875845213171e-09,1.27468933088518,2.41946711569004
"TOMM22",1.79776080057068e-06,0.000154391640123219,0.743314524191202,1.67401740072634
"MYH2",0.00296581050871827,0.0211799242612132,5.91163203244849,60.1975152050643
"TIMM8B",0.000330737659098312,0.00469108665868385,0.811188953805603,1.75465689473907
"UBXN8",0.0391775366283731,0.129605087615483,0.28391285439441,1.21749247413662
"UPK2",0.000350426232486928,0.00487736103175683,0.366044908421058,1.28881474827355
"UBE2C",0.000279017994670328,0.00414049910598945,0.291556982175365,1.22396048511645
"SDHD",0.00308608332637276,0.0218293050501596,0.350358548836876,1.27487742956068
"GATC",0.000334111250001533,0.00473073783739195,0.48964160370525,1.4040960249349
"TIMM8A",0.00664205799861488,0.0374370541740112,0.363481662671163,1.2865269356374
"ZNRD2",0.000587208360259776,0.00688497596040976,0.321429048079899,1.24956768366676
"HS6ST1",0.0252807051381204,0.0969629948357091,0.406759829504706,1.32570504716634
"NDUFB1",0.00223594555956494,0.0172964924716272,0.471801765284827,1.38684039607764
"BANF1",9.18879519313009e-07,9.51912656462996e-05,0.412442787146414,1.33093746528573
"CREG1",0.0162167546205613,0.0707074692672741,0.300424570992075,1.23150678038136
"TPPP",0.00338362384027879,0.0232718840925074,0.328619810395379,1.25581139688105
"UBOX5",0.00718232159222548,0.0395255678000624,0.262883399483249,1.19987440302186
"RHOBTB3",1.9133558479549e-06,0.000161432002676937,0.315139329368302,1.24413180046941
"CLIC3",1.09333006989848e-05,0.000505526174692042,0.309632588878626,1.23939202379858
"CSTA",4.99611924977665e-06,0.000300648823089501,0.335522625838429,1.26183443393117
"SPTA1",0.0448613055652261,0.141809549921132,0.31314510331938,1.24241323488513
"APOA1",0.000888860742588334,0.00920814723714294,0.35350907154395,1.27766451828826
"HMGCR",0.00322457465704386,0.0225891476997193,0.380505573189717,1.30179797321308
"TK1",0.000977594123884837,0.00986090775130782,0.297741581020588,1.22921866695202
"GAPDH",3.57052725110184e-06,0.000247637245957775,0.326037341070947,1.2535654658778
"TYMS",1.95506182653524e-07,3.62456248045428e-05,0.319346105531322,1.24776487739158
"ISG15",5.72147321482203e-07,6.88596129266229e-05,0.283231835907369,1.2169178972544
"ALPP",8.908602795923e-08,2.02522236893983e-05,0.343571480709471,1.26889393436015
"RHOC",0.000327917360219223,0.00468355266323581,0.339529709549158,1.26534404924726
"NFIC",0.0463706673864832,0.145290023694861,0.315848192822026,1.24474325073408
"RPS17",7.49710076050043e-05,0.00172550875361796,0.435326399251775,1.35221672761559
"GNAI3",0.00202344341785711,0.0161402153330825,0.355541008593246,1.27946528899485
"TPM1",0.0011784780467586,0.0112277815304684,0.434942680255766,1.35185712130001
"C4A",2.57893187701568e-09,1.75883154012469e-06,0.319135238616642,1.24758251514943
"HLA.C",0.000411565760858232,0.00549556850553645,0.585607488335718,1.50067075694673
"MGST1",5.86588332051205e-05,0.00150503451447642,0.442695830479085,1.35914165809049
"PRPS2",2.64764201537726e-06,0.000202027657876861,0.309589603612586,1.23935509651964
"COL6A1",0.0303731564879574,0.109503926298433,0.326485435292019,1.25395487782363
"PIP",0.0270757406264876,0.10068880293169,0.475488707562937,1.39038912920893
"ALAS1",2.4125343779124e-08,7.56296545574611e-06,0.403896337011389,1.32307636854912
"CD99",0.0259503183904677,0.0985116267862449,0.363561692347854,1.28659830428259
"X.1",0.0133527492735675,0.0614938362833983,0.461498094933877,1.37697092301137
"H2AX",0.0253284305074905,0.0969994736889574,0.441384559594464,1.3579068904135
"ITIH1",0.0312621719651992,0.111481313883743,0.379966661521951,1.30131178376748
"BTF3",1.05357864774134e-05,0.000504239044041821,0.367230708545232,1.28987450441647
"COX5A",1.6248889661304e-05,0.000642419869507786,0.413736666725587,1.33213165061886
"TGM2",7.73520572584873e-12,1.58262309150865e-08,0.288215964704069,1.22112929633563
"NME2",0.00540745216046941,0.0322955817020235,0.302296195871715,1.23310546507201
"MYL9",1.40805208300128e-05,0.000582262096203467,0.495923443332012,1.41022312495432
"S100P",0.00278840581931203,0.0203027697733538,0.361507187617196,1.28476739686462
"MSN",1.31368345750906e-07,2.62224034542784e-05,0.469359168114057,1.3844943518321
"RPL10",0.000114410694072654,0.00226716009755593,0.364423202898877,1.2873668305452
"S100A2",2.79701783165081e-05,0.000890756843279101,0.425118302093946,1.34268259926364
"BLVRB",8.65600183765098e-06,0.000450105544906074,0.280514511407063,1.21462798252809
"MAPK4",0.0202053714220087,0.0823509759550395,0.570430074262553,1.48496618014425
"GBP1",2.6660541362049e-06,0.000202027657876861,0.311775244622392,1.24123410639344
"RPL9",0.0174840615363631,0.074409547380965,0.532620411011184,1.44655423141109
"HSPA1L",0.000347846763505702,0.00487461971323744,0.372351691841036,1.29446117227085
"KRT2",0.0027225393987723,0.0199652889243302,0.500148217900524,1.41435886164076
"SRP14",8.65909429987676e-05,0.00191943110846714,0.298343872228642,1.22973194393381
"VHL",0.029516452736023,0.107265830014037,0.440604156432416,1.35717255069883
"ID1",0.00620067843367661,0.0355865023150136,0.291837271072751,1.22419830104608
"RPL21",0.0285855691670354,0.10471991855999,0.384781251615735,1.30566180133633
"ZFP36L2",8.00346754937702e-05,0.00181999815771415,0.284782531580284,1.218226617251
"CD151",0.000274826745494349,0.00409687082900866,0.336463652024143,1.26265775871824
"MARCKSL1",0.00981046842618182,0.0493781510454317,0.290312371505333,1.22290503172706
"UBE2A",9.10109636665754e-05,0.00196526049247296,0.2877306102944,1.22071855062171
"PSMB3",6.53384474750471e-05,0.00158204098856741,0.336720581689811,1.26288264555558
"HINT1",0.00162074149938664,0.0138601342016513,0.387925846772994,1.30851081344807
"AKR1C2",7.16685887284172e-06,0.000385878769837741,0.33162814103547,1.25843276688632
"SUMO3",0.035020728697772,0.120881334315718,0.310307384099035,1.23997186320424
"MTPN",5.74849011733984e-05,0.00148408968833783,0.455893828243614,1.37163234281235
"MYL6",1.71363036770783e-05,0.000655343501370133,0.422148572885234,1.33992158430188
"S100A10",4.21695427603703e-05,0.00119417141159471,0.339181065625937,1.26503830118526
"POLR2F",0.0431993968796948,0.13827162034088,0.281568287222813,1.21551549729781
